Olink ID*	UniProt ID	Protein name	Gene name
OID40414	Q495T6	Membrane metallo-endopeptidase-like 1	MMEL1
OID40415	Q9BWT6	Meiotic nuclear division protein 1 homolog	MND1
OID40416	Q99583	Max-binding protein MNT	MNT
OID40417	Q9Y6X9	ATPase MORC2	MORC2
OID40418	Q5VZ52	MORN repeat-containing protein 5	MORN5
OID40419	Q9UJG1	Motile sperm domain-containing protein 1	MOSPD1
OID40420	P29372	DNA-3-methyladenine glycosylase	MPG
OID40421	Q96G30	Melanocortin-2 receptor accessory protein 2	MRAP2
OID40422	Q8N565	Melanoregulin	MREG
OID40423	Q6IN84	rRNA methyltransferase 1, mitochondrial	MRM1
OID40424	A6NES4	Maestro heat-like repeat-containing protein family member 2A	MROH2A
OID40425	P35548	Homeobox protein MSX-2	MSX2
OID40426	Q15390	Mitochondrial fission regulator 1	MTFR1
OID40427	Q9H4K7	Mitochondrial ribosome-associated GTPase 2	MTG2
OID40428	P46199	Translation initiation factor IF-2, mitochondrial	MTIF2
OID40429	Q02505	Mucin-3A	MUC3A
OID40430	Q8TAX7	Mucin-7	MUC7
OID40431	Q96NY9	Crossover junction endonuclease MUS81	MUS81
OID40432	Q8TBZ2	MYCBP-associated protein	MYCBPAP
OID40433	Q9UKX3	Myosin-13	MYH13
OID40434	Q9Y2K3	Myosin-15	MYH15
OID40435	Q9BUA6	Myosin regulatory light chain 10	MYL10
OID40436	Q9HD67	Unconventional myosin-X	MYO10
OID40437	Q9NQX4	Unconventional myosin-Vc	MYO5C
OID40438	P15172	Myoblast determination protein 1	MYOD1
OID40439	Q9UL68	Myelin transcription factor 1-like protein	MYT1L
OID40440	Q8IYB0	Putative uncharacterized protein MGC39545	YK038
OID40442	Q9H009	Nascent polypeptide-associated complex subunit alpha-2	NACA2
OID40443	Q9H9S0	Homeobox protein NANOG	NANOG
OID40445	Q8NFP9	Neurobeachin	NBEA
OID40447	O14513	Nck-associated protein 5	NCKAP5
OID40448	Q9H4R4	Putative nuclear receptor corepressor 1-like protein NCOR1P1	NCOR1P1
OID40449	Q9UHB4	NADPH-dependent diflavin oxidoreductase 1	NDOR1
OID40450	Q9Y375	Complex I intermediate-associated protein 30, mitochondrial	NDUFAF1
OID40451	Q9P032	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	NDUFAF4
OID40452	O75489	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	NDUFS3
OID40453	Q96P71	N-terminal EF-hand calcium-binding protein 3	NECAB3
OID40454	Q6P3R8	Serine/threonine-protein kinase Nek5	NEK5
OID40455	Q7Z628	Neuroepithelial cell-transforming gene 1 protein	NET1
OID40456	Q8NC67	Neuropilin and tolloid-like protein 2	NETO2
OID40457	Q14934	Nuclear factor of activated T-cells, cytoplasmic 4	NFATC4
OID40458	Q96IV0	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	NGLY1
OID40459	Q5HYW2	NHS-like protein 2	NHSL2
OID40460	Q96TA1	Protein Niban 2	NIBAN2
OID40461	Q9NZG7	Ninjurin-2	NINJ2
OID40462	Q96S42	Nodal homolog	NODAL
OID40463	Q96MY1	Nucleolar protein 4-like	NOL4L
OID40464	Q14207	Protein NPAT	NPAT
OID40465	Q14994	Nuclear receptor subfamily 1 group I member 3	NR1I3
OID40466	Q7Z6K4	Notch-regulated ankyrin repeat-containing protein	NRARP
OID40467	P01111	GTPase NRas	NRAS
OID40468	Q16656	Nuclear respiratory factor 1	NRF1
OID40469	Q9NQ35	Nuclear receptor-interacting protein 3	NRIP3
OID40470	Q969T7	7-methylguanosine phosphate-specific 5'-nucleotidase	NT5C3B
OID40471	Q9H093	NUAK family SNF1-like kinase 2	NUAK2
OID40472	Q9NZJ9	Diphosphoinositol polyphosphate phosphohydrolase 2	NUDT4
OID40473	Q9Y6R0	Numb-like protein	NUMBL
OID40474	Q12769	Nuclear pore complex protein Nup160	NUP160
OID40475	A6NNL0	NUT family member 2B	NUTM2B
OID40476	O15381	Nuclear valosin-containing protein-like	NVL
OID40477	Q9H4D5	Nuclear RNA export factor 3	NXF3
OID40478	Q6ZVC0	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1	NYAP1
OID40479	P11926	Ornithine decarboxylase	ODC1
OID40480	Q9ULJ1	Protein BCAP	ODF2L
OID40481	Q9NRC9	Otoraplin	OTOR
OID40482	Q7L8S5	OTU domain-containing protein 6A	OTUD6A
OID40483	Q7Z309	PABIR family member 2	PABIR2
OID40484	Q9NP74	Palmdelphin	PALMD
OID40485	Q9NPB6	Partitioning defective 6 homolog alpha	PARD6A
OID40486	Q6UWI2	Prostate androgen-regulated mucin-like protein 1	PARM1
OID40487	Q9Y6F1	Protein mono-ADP-ribosyltransferase PARP3	PARP3
OID40488	Q9UKK3	Protein mono-ADP-ribosyltransferase PARP4	PARP4
OID40489	Q8IV76	Circadian clock protein PASD1	PASD1
OID40490	Q96RG2	PAS domain-containing serine/threonine-protein kinase	PASK
OID40491	O43316	Paired box protein Pax-4	PAX4
OID40492	Q15004	PCNA-associated factor	PCLAF
OID40493	Q15154	Pericentriolar material 1 protein	PCM1
OID40494	Q9NV79	Protein-L-isoaspartate O-methyltransferase domain-containing protein 2	PCMTD2
OID40495	Q08493	cAMP-specific 3',5'-cyclic phosphodiesterase 4C	PDE4C
OID40496	Q5EBL8	PDZ domain-containing protein 11	PDZD11
OID40497	Q9UPQ7	E3 ubiquitin-protein ligase PDZRN3	PDZRN3
OID40498	Q96FA3	E3 ubiquitin-protein ligase pellino homolog 1	PELI1
OID40499	P40855	Peroxisomal biogenesis factor 19	PEX19
OID40500	P16118	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1	PFKFB1
OID40501	Q16877	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	PFKFB4
OID40502	Q6NSJ2	Pleckstrin homology-like domain family B member 3	PHLDB3
OID40503	O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	PIK3CD
OID40504	Q7Z3Z3	Piwi-like protein 3	PIWIL3
OID40505	Q9P0L9	Polycystic kidney disease 2-like 1 protein	PKD2L1
OID40506	Q86XP0	Cytosolic phospholipase A2 delta	PLA2G4D
OID40507	P53816	Phospholipase A and acyltransferase 3	PLAAT3
OID40508	O95397	Putative protein PLEKHA9	PLEKHA8P1
OID40509	A1L390	Pleckstrin homology domain-containing family G member 3	PLEKHG3
OID40510	Q96PX9	Pleckstrin homology domain-containing family G member 4B	PLEKHG4B
OID40511	Q5SXH7	Pleckstrin homology domain-containing family S member 1	PLEKHS1
OID40512	Q496M5	Inactive serine/threonine-protein kinase PLK5	PLK5
OID40513	P60201	Myelin proteolipid protein	PLP1
OID40514	Q8TBY8	Polyamine-modulated factor 1-binding protein 1	PMFBP1
OID40515	Q13401	Putative postmeiotic segregation increased 2-like protein 3	PMS2P3
OID40516	Q96PV4	Paraneoplastic antigen-like protein 5	PNMA5
OID40517	Q8N8W4	Omega-hydroxyceramide transacylase	PNPLA1
OID40518	Q3SYA9	Putative POM121-like protein 1	POM121L1P
OID40519	H3BUK9	POTE ankyrin domain family member B2	POTEB2
OID40520	Q7Z5V6	Protein phosphatase 1 regulatory subunit 32	PPP1R32
OID40521	Q08209	Protein phosphatase 3 catalytic subunit alpha	PPP3CA
OID40522	Q96LZ3	Calcineurin subunit B type 2	PPP3R2
OID40523	A6NEY8	Putative prolyl-tRNA synthetase associated domain-containing protein 1	PRORSD1P
OID40524	Q2NL68	Proline and serine-rich protein 3	PROSER3
OID40525	Q9UMS4	Pre-mRNA-processing factor 19	PRPF19
OID40526	Q96HE9	Proline-rich protein 11	PRR11
OID40527	Q8N4B5	Proline-rich protein 18	PRR18
OID40528	P0DMB1	Proline-rich protein 23D2	PRR23D2
OID40529	Q96S07	Proline-rich protein 25	PRR25
OID40530	P79522	Proline-rich protein 3	PRR3
OID40531	Q7Z6L0	Proline-rich transmembrane protein 2	PRRT2
OID40532	P11801	Serine/threonine-protein kinase H1	PSKH1
OID40533	P25787	Proteasome subunit alpha type-2	PSMA2
OID40534	A5LHX3	Proteasome subunit beta type-11	PSMB11
OID40535	Q9P2W1	Homologous-pairing protein 2 homolog	PSMC3IP
OID40536	Q96PY0	Putative uncharacterized protein PSMG3-AS1	PSMG3-AS1
OID40537	Q16825	Tyrosine-protein phosphatase non-receptor type 21	PTPN21
OID40538	Q9NZH4	Putative pituitary tumor-transforming gene 3 protein	PTTG3P
OID40539	Q15032	R3H domain-containing protein 1	R3HDM1
OID40540	A4D1S5	Ras-related protein Rab-19	RAB19
OID40541	P57729	Ras-related protein Rab-38	RAB38
OID40542	P20337	Ras-related protein Rab-3B	RAB3B
OID40543	Q92696	Geranylgeranyl transferase type-2 subunit alpha	RABGGTA
OID40544	Q15311	RalA-binding protein 1	RALBP1
OID40545	Q2PPJ7	Ral GTPase-activating protein subunit alpha-2	RALGAPA2
OID40546	Q86SE5	RNA-binding Raly-like protein	RALYL
OID40547	O60896	Receptor activity-modifying protein 3	RAMP3
OID40548	Q86VV4	Ran-binding protein 3-like	RANBP3L
OID40549	O60518	Ran-binding protein 6	RANBP6
OID40550	Q8IZ41	Ras and EF-hand domain-containing protein	RASEF
OID40551	O75901	Ras association domain-containing protein 9	RASSF9
OID40552	Q99708	DNA endonuclease RBBP8	RBBP8
OID40553	O75884	Serine hydrolase RBBP9	RBBP9
OID40554	Q8N0V3	Putative ribosome-binding factor A, mitochondrial	RBFA
OID40555	Q5RL73	RNA-binding protein 48	RBM48
OID40556	O94762	ATP-dependent DNA helicase Q5	RECQL5
OID40557	Q96A58	Ras-related and estrogen-regulated growth inhibitor	RERG
OID40558	Q6ZTI6	Refilin-A	RFLNA
OID40559	O14924	Regulator of G-protein signaling 12	RGS12
OID40560	Q8NE09	Regulator of G-protein signaling 22	RGS22
OID40561	O15539	Regulator of G-protein signaling 5	RGS5
OID40562	Q6MZT1	Regulator of G-protein signaling 7-binding protein	RGS7BP
OID40563	Q8TCX5	Rhophilin-1	RHPN1
OID40564	Q9NVN3	Synembryn-B	RIC8B
OID40565	A6NJZ7_Q9UFD9	RIMS-binding protein 3A/C	RIMBP3C_RIMBP3
OID40566	Q13671	Ras and Rab interactor 1	RIN1
OID40567	Q9Y572	Receptor-interacting serine/threonine-protein kinase 3	RIPK3
OID40568	Q8IUD6	E3 ubiquitin-protein ligase RNF135	RNF135
OID40569	Q9BXT8	RING finger protein 17	RNF17
OID40570	Q9H0X6	RING finger protein 208	RNF208
OID40571	A8MTL3	RING finger protein 212B	RNF212B
OID40572	Q9H0A6	RING finger protein 32	RNF32
OID40573	Q969K3	E3 ubiquitin-protein ligase RNF34	RNF34
OID40574	Q9H0F5	E3 ubiquitin-protein ligase RNF38	RNF38
OID40575	Q01974	Tyrosine-protein kinase transmembrane receptor ROR2	ROR2
OID40576	P35398	Nuclear receptor ROR-alpha	RORA
OID40577	Q86UA6	RPA-interacting protein	RPAIN
OID40578	Q8IXW5	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2	RPAP2
OID40579	P46777	60S ribosomal protein L5	RPL5
OID40580	P05386	60S acidic ribosomal protein P1	RPLP1
OID40581	Q9NSQ0	Putative ribosomal RNA-processing protein 7 homolog B	RRP7BP
OID40582	Q9NZ71	Regulator of telomere elongation helicase 1	RTEL1
OID40583	Q9NXZ1	Sarcoma antigen 1	SAGE1
OID40584	Q9P1V8	Sterile alpha motif domain-containing protein 15	SAMD15
OID40585	Q99590	Protein SCAF11	SCAF11
OID40586	O95171	Sciellin	SCEL
OID40587	P35499	Sodium channel protein type 4 subunit alpha	SCN4A
OID40588	O75056	Syndecan-3	SDC3
OID40589	Q93073	Selenocysteine insertion sequence-binding protein 2-like	SECISBP2L
OID40590	Q14563	Semaphorin-3A	SEMA3A
OID40591	Q13591	Semaphorin-5A	SEMA5A
OID40592	Q8NFY4	Semaphorin-6D	SEMA6D
OID40593	Q14140	SERTA domain-containing protein 2	SERTAD2
OID40594	Q8WTS6	Histone-lysine N-methyltransferase SETD7	SETD7
OID40595	Q15393	Splicing factor 3B subunit 3	SF3B3
OID40596	O00141	Serine/threonine-protein kinase Sgk1	SGK1
OID40597	Q8N5H7	SH2 domain-containing protein 3C	SH2D3C
OID40598	Q5VZ18	SH2 domain-containing adapter protein E	SHE
OID40599	Q9Y2K2	Serine/threonine-protein kinase SIK3	SIK3
OID40600	Q9NTG7	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	SIRT3
OID40601	Q8N6T7	NAD-dependent protein deacylase sirtuin-6	SIRT6
OID40602	Q13621	Solute carrier family 12 member 1	SLC12A1
OID40603	Q8IYB5	Stromal membrane-associated protein 1	SMAP1
OID40604	Q8IY18	Structural maintenance of chromosomes protein 5	SMC5
OID40605	Q96SB8	Structural maintenance of chromosomes protein 6	SMC6
OID40606	Q86US8	Telomerase-binding protein EST1A	SMG6
OID40607	Q92540	Nonsense-mediated mRNA decay factor SMG7	SMG7
OID40608	Q2TAL5	Smoothelin-like protein 2	SMTNL2
OID40609	Q9HAU4	E3 ubiquitin-protein ligase SMURF2	SMURF2
OID40610	A6NMZ2	Sentan	SNTN
OID40611	P35712	Transcription factor SOX-6	SOX6
OID40612	Q9BT81	Transcription factor SOX-7	SOX7
OID40613	Q96KW9	Sperm acrosome-associated protein 7	SPACA7
OID40614	Q5MJ10	Sperm protein associated with the nucleus on the X chromosome N2	SPANXN2
OID40615	Q7Z5L4	Spermatogenesis-associated protein 19, mitochondrial	SPATA19
OID40616	Q86W54	Spermatogenesis-associated protein 24	SPATA24
OID40617	Q96N06	Spermatogenesis-associated protein 33	SPATA33
OID40618	Q86XZ4	Spermatogenesis-associated serine-rich protein 2	SPATS2
OID40619	Q5M775	Cytospin-B	SPECC1
OID40620	Q9NZD8	Maspardin	SPG21
OID40621	Q9BXG8	Spermatogenic leucine zipper protein 1	SPZ1
OID40622	P0DMP2	SLIT-ROBO Rho GTPase-activating protein 2B	SRGAP2B
OID40624	Q96JF0	Beta-galactoside alpha-2,6-sialyltransferase 2	ST6GAL2
OID40625	P61647	Alpha-2,8-sialyltransferase 8F	ST8SIA6
OID40626	Q99469	SH3 and cysteine-rich domain-containing protein	STAC
OID40627	Q6ZMT1	SH3 and cysteine-rich domain-containing protein 2	STAC2
OID40628	Q96MF2	SH3 and cysteine-rich domain-containing protein 3	STAC3
OID40629	Q9UGK3	Signal-transducing adaptor protein 2	STAP2
OID40630	Q9P2P6	StAR-related lipid transfer protein 9	STARD9
OID40631	P42224	Signal transducer and activator of transcription 1-alpha/beta	STAT1
OID40632	Q9UHE8	Metalloreductase STEAP1	STEAP1
OID40633	Q9H5V9	STING ER exit protein	STEEP1
OID40634	Q9NY57	Serine/threonine-protein kinase 32B	STK32B
OID40635	Q8TDR2	Serine/threonine-protein kinase 35	STK35
OID40636	Q93045	Stathmin-2	STMN2
OID40637	Q9Y6Q2	Stonin-1	STON1
OID40638	Q7Z7C7	Stimulated by retinoic acid gene 8 protein homolog	STRA8
OID40639	Q86Y82	Syntaxin-12	STX12
OID40640	P32856	Syntaxin-2	STX2
OID40641	Q6ZWJ1	Syntaxin-binding protein 4	STXBP4
OID40642	Q9UMX1	Suppressor of fused homolog	SUFU
OID40643	O00338	Sulfotransferase 1C2	SULT1C2
OID40644	P49888	Sulfotransferase 1E1	SULT1E1
OID40645	Q92797	Symplekin	SYMPK
OID40646	Q4VX76	Synaptotagmin-like protein 3	SYTL3
OID40647	Q8TEA7	TBC domain-containing protein kinase-like protein	TBCK
OID40648	Q6SJ96	TATA box-binding protein-like 2	TBPL2
OID40649	Q9Y458	T-box transcription factor TBX22	TBX22
OID40650	Q7Z6L1	Tectonin beta-propeller repeat-containing protein 1	TECPR1
OID40651	Q8WW24	Tektin-4	TEKT4
OID40652	Q9Y4R8	Telomere length regulation protein TEL2 homolog	TELO2
OID40653	Q96IP4	Terminal nucleotidyltransferase 5A	TENT5A
OID40654	Q96N21	AP-4 complex accessory subunit Tepsin	TEPSIN
OID40655	Q9Y4I5	Tesmin	TESMIN
OID40656	Q96LM6	Testis-expressed sequence 37 protein	TEX37
OID40657	Q15583	Homeobox protein TGIF1	TGIF1
OID40658	P07101	Tyrosine 3-monooxygenase	TH
OID40659	Q7Z2Z1	Treslin	TICRR
OID40660	Q96MW7	Tigger transposable element-derived protein 1	TIGD1
OID40661	Q7Z3E1	Protein mono-ADP-ribosyltransferase TIPARP	TIPARP
OID40662	Q04725	Transducin-like enhancer protein 2	TLE2
OID40663	Q9H808	Transducin-like enhancer protein 6	TLE6
OID40664	Q9NWD8	Transmembrane protein 248	TMEM248
OID40665	Q9NRS4	Transmembrane protease serine 4	TMPRSS4
OID40666	Q9Y320	Thioredoxin-related transmembrane protein 2	TMX2
OID40667	Q9C0C2	182 kDa tankyrase-1-binding protein	TNKS1BP1
OID40668	P63316	Troponin C, slow skeletal and cardiac muscles	TNNC1
OID40669	P45379	Troponin T, cardiac muscle	TNNT2
OID40670	Q8IZW8	Tensin-4	TNS4
OID40671	Q8N6T0	Type 2 DNA topoisomerase 6 subunit B-like	TOP6BL
OID40672	Q5T0D9	Tumor protein p63-regulated gene 1-like protein	TPRG1L
OID40673	Q8TDR0	TRAF3-interacting protein 1	TRAF3IP1
OID40674	Q9Y577	E3 ubiquitin-protein ligase TRIM17	TRIM17
OID40675	Q9BZY9	E3 ubiquitin-protein ligase TRIM31	TRIM31
OID40676	Q9BU70	tRNA (adenine(37)-N6)-methyltransferase	TRMO
OID40677	Q9NUP7	tRNA:m(4)X modification enzyme TRM13 homolog	TRMT13
OID40678	Q9UBN4	Short transient receptor potential channel 4	TRPC4
OID40679	Q9UHF7	Zinc finger transcription factor Trps1	TRPS1
OID40680	Q3SY00	Testis-specific protein 10-interacting protein	TSGA10IP
OID40681	Q2TAA8	Translin-associated factor X-interacting protein 1	TSNAXIP1
OID40682	Q9UJK0	18S rRNA aminocarboxypropyltransferase	TSR3
OID40683	A2A3L6	Tetratricopeptide repeat protein 24	TTC24
OID40684	Q6EMB2	Tubulin polyglutamylase TTLL5	TTLL5
OID40685	Q8N841	Tubulin polyglutamylase TTLL6	TTLL6
OID40686	Q6ZT98	Tubulin polyglutamylase TTLL7	TTLL7
OID40687	A6NNZ2	Tubulin beta 8B	TUBB8B
OID40688	Q96RT8	Gamma-tubulin complex component 5	TUBGCP5
OID40689	Q5TAX3	Terminal uridylyltransferase 4	TUT4
OID40690	P62987	Ubiquitin-60S ribosomal protein L40	UBA52
OID40691	Q96LR5	Ubiquitin-conjugating enzyme E2 E2	UBE2E2
OID40692	Q5VVX9	Ubiquitin-conjugating enzyme E2 U	UBE2U
OID40693	Q6ZU65	Ubinuclein-2	UBN2
OID40694	Q8IWV7	E3 ubiquitin-protein ligase UBR1	UBR1
OID40695	Q8N806	Putative E3 ubiquitin-protein ligase UBR7	UBR7
OID40696	Q96LJ8	UBX domain-containing protein 10	UBXN10
OID40697	P68543	UBX domain-containing protein 2A	UBXN2A
OID40698	Q9HA47	Uridine-cytidine kinase 1	UCK1
OID40700	Q8N6Y0	Harmonin-binding protein USHBP1	USHBP1
OID40701	P51784	Ubiquitin carboxyl-terminal hydrolase 11	USP11
OID40702	Q9P275	Ubiquitin carboxyl-terminal hydrolase 36	USP36
OID40703	Q9H9J4	Ubiquitin carboxyl-terminal hydrolase 42	USP42
OID40704	Q70EL4	Ubiquitin carboxyl-terminal hydrolase 43	USP43
OID40705	Q86UV5	Ubiquitin carboxyl-terminal hydrolase 48	USP48
OID40706	P49754	Vacuolar protein sorting-associated protein 41 homolog	VPS41
OID40707	Q8N398	von Willebrand factor A domain-containing protein 5B2	VWA5B2
OID40708	A3KMH1	von Willebrand factor A domain-containing protein 8	VWA8
OID40709	Q7Z5K2	Wings apart-like protein homolog	WAPL
OID40710	Q64LD2	WD repeat-containing protein 25	WDR25
OID40711	Q9H977	WD repeat-containing protein 54	WDR54
OID40712	B1ANS9	WD repeat-containing protein 64	WDR64
OID40713	Q9BQA1	Methylosome protein 50	WDR77
OID40714	Q9P202	Whirlin	WHRN
OID40715	Q96J92	Serine/threonine-protein kinase WNK4	WNK4
OID40716	O00755	Protein Wnt-7a	WNT7A
OID40717	P19544	Wilms tumor protein	WT1
OID40718	Q9UBH6	Xenotropic and polytropic retrovirus receptor 1	XPR1
OID40719	Q8IZH2	5'-3' exoribonuclease 1	XRN1
OID40720	Q6P2D8	X-ray radiation resistance-associated protein 1	XRRA1
OID40721	Q9NRH1	Protein YAE1 homolog	YAE1
OID40722	Q49AG3	Zinc finger BED domain-containing protein 5	ZBED5
OID40723	Q99592	Zinc finger and BTB domain-containing protein 18	ZBTB18
OID40724	Q9HC78	Zinc finger and BTB domain-containing protein 20	ZBTB20
OID40725	Q8NCP5	Zinc finger and BTB domain-containing protein 44	ZBTB44
OID40726	Q5TFG8	Zinc finger C2HC domain-containing protein 1B	ZC2HC1B
OID40727	Q8WU90	Zinc finger CCCH domain-containing protein 15	ZC3H15
OID40728	Q86WB0	Zinc finger C3HC-type protein 1	ZC3HC1
OID40729	Q8WYQ9	Zinc finger CCHC domain-containing protein 14	ZCCHC14
OID40730	Q9H0M4	Zinc finger CW-type PWWP domain protein 1	ZCWPW1
OID40731	Q504Y3	Zinc finger CW-type PWWP domain protein 2	ZCWPW2
OID40732	Q86XD8	AN1-type zinc finger protein 4	ZFAND4
OID40733	Q9P243	Zinc finger protein ZFAT	ZFAT
OID40734	Q15911	Zinc finger homeobox protein 3	ZFHX3
OID40735	Q9NU63	Zinc finger protein 57 homolog	ZFP57
OID40736	Q8TF47	Zinc finger protein 90 homolog	ZFP90
OID40737	Q9UPR6	Zinc finger RNA-binding protein 2	ZFR2
OID40738	Q9HCC9	Lateral signaling target protein 2 homolog	ZFYVE28
OID40739	Q96T25	Zinc finger protein ZIC 5	ZIC5
OID40740	P52739	Zinc finger protein 131	ZNF131
OID40741	Q0IIN9	Putative uncharacterized protein ZNF252P-AS1	ZNF252P-AS1
OID40742	Q9Y3S2	Zinc finger protein 330	ZNF330
OID40743	Q9UL40	Zinc finger protein 346	ZNF346
OID40744	Q9GZX5	Zinc finger protein 350	ZNF350
OID40745	Q96N95	Zinc finger protein 396	ZNF396
OID40746	A8K554	Putative protein ZNF815	ZNF815P
OID40747	Q9P2E3	NFX1-type zinc finger-containing protein 1	ZNFX1
OID40748	A7E2V4	Zinc finger SWIM domain-containing protein 8	ZSWIM8
OID40749	Q96AP4	Zinc finger-containing ubiquitin peptidase 1	ZUP1
OID40750	Q9H900	Protein zwilch homolog	ZWILCH
OID40751	Q9NRG9	Aladin	AAAS
OID40752	Q6PD74	Alpha- and gamma-adaptin-binding protein p34	AAGAB
OID40753	Q4L235	Beta-alanine-activating enzyme	AASDH
OID40754	Q2M3G0	ATP-binding cassette sub-family B member 5	ABCB5
OID40755	O95255	ATP-binding cassette sub-family C member 6	ABCC6
OID40756	Q09428	ATP-binding cassette sub-family C member 8	ABCC8
OID40757	Q9UG63	ATP-binding cassette sub-family F member 2	ABCF2
OID40758	O94929	Actin-binding LIM protein 3	ABLIM3
OID40759	Q8N0Z2	Actin-binding Rho-activating protein	ABRA
OID40760	Q8N6N7	Acyl-CoA-binding domain-containing protein 7	ACBD7
OID40761	Q9UKV3	Apoptotic chromatin condensation inducer in the nucleus	ACIN1
OID40762	Q8WYK0	Acetyl-coenzyme A thioesterase	ACOT12
OID40763	Q08AH1	Acyl-coenzyme A synthetase ACSM1, mitochondrial	ACSM1
OID40764	Q9H9F9	Actin-related protein 5	ACTR5
OID40765	O60266	Adenylate cyclase type 3	ADCY3
OID40766	O95622	Adenylate cyclase type 5	ADCY5
OID40767	Q8N7X0	Androglobin	ADGB
OID40768	Q96PE1	Adhesion G protein-coupled receptor A2	ADGRA2
OID40769	Q8IZF3	Adhesion G protein-coupled receptor F4	ADGRF4
OID40770	P08319	All-trans-retinol dehydrogenase [NAD(+)] ADH4	ADH4
OID40771	Q16186	Proteasomal ubiquitin receptor ADRM1	ADRM1
OID40772	Q5VTM2_Q96P64	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4/9	AGAP9_AGAP4
OID40774	Q8NEM8	Cytosolic carboxypeptidase 3	AGBL3
OID40775	Q719I0	Putative activator of 90 kDa heat shock protein ATPase homolog 2	AHSA2P
OID40776	P27144	Adenylate kinase 4, mitochondrial	AK4
OID40777	Q96M32	Adenylate kinase 7	AK7
OID40778	Q12802	A-kinase anchor protein 13	AKAP13
OID40779	Q86UN6	A-kinase anchor protein 14	AKAP14
OID40780	O43687	A-kinase anchor protein 7 isoforms alpha and beta	AKAP7
OID40781	O43823	A-kinase anchor protein 8	AKAP8
OID40782	P14550	Aldo-keto reductase family 1 member A1	AKR1A1
OID40783	P13196	5-aminolevulinate synthase, non-specific, mitochondrial	ALAS1
OID40784	P47895	Aldehyde dehydrogenase family 1 member A3	ALDH1A3
OID40785	O75891	Cytosolic 10-formyltetrahydrofolate dehydrogenase	ALDH1L1
OID40786	Q9UM73	ALK tyrosine kinase receptor	ALK
OID40787	Q86V81	THO complex subunit 4	ALYREF
OID40788	Q6DCA0	AMMECR1-like protein	AMMECR1L
OID40789	Q9H1A4	Anaphase-promoting complex subunit 1	ANAPC1
OID40790	Q9UJX5	Anaphase-promoting complex subunit 4	ANAPC4
OID40791	Q86XS5	Angiopoietin-related protein 5	ANGPTL5
OID40792	Q9P2G1	Ankyrin repeat and IBR domain-containing protein 1	ANKIB1
OID40793	Q9NXR5	Ankyrin repeat domain-containing protein 10	ANKRD10
OID40794	A2A2Z9	Ankyrin repeat domain-containing protein 18B	ANKRD18B
